semester_id,course_id,section,days_met,date,start_time,end_time,building_id,room_no,instructor_id
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,aba57978-eded-4758-91e0-be94895ddc80,1,M,2022-12-12,14:00:00,16:30:00,12e6b7c9-3302-4a10-b8c7-19082350df9a,105,269a9958-dd82-4cb8-ba24-693433dadfdb
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,a53ef439-e7a5-4ba1-99a4-08c60acbf578,1,W,2022-12-14,14:00:00,16:30:00,8cbf9e37-a90e-4b16-b9ca-2e0940ca60a7,147,d05e3604-bacf-4457-8986-1ba148cf7e7a
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,85755718-784a-4879-b291-4e36f5806f76,1,W,2022-12-14,14:00:00,16:30:00,12e6b7c9-3302-4a10-b8c7-19082350df9a,109,269a9958-dd82-4cb8-ba24-693433dadfdb
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,df0f99de-c64a-401c-afac-4081d0c31671,1,M,2022-12-12,08:00:00,10:30:00,96992551-53d9-4236-9148-116e0fe51821,102,d05e3604-bacf-4457-8986-1ba148cf7e7a
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,2f1a9faf-12db-48ee-85ba-049363da2cd9,1,W,2022-12-14,14:00:00,16:30:00,96992551-53d9-4236-9148-116e0fe51821,119,0b2e52d0-ce45-4f33-9e52-5f2aaf2c5689
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,d389ca16-7b52-4005-ae50-4486de28d00a,1,T,2022-12-13,11:00:00,13:30:00,30a7dbaf-3c36-4678-8dfb-777cc54ed273,404,79c2fc30-18d3-4e0f-a2d7-933552798589
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,be1001d3-7018-409c-92ca-f65e5a514f26,1,R,2022-12-08,14:00:00,16:30:00,5fda8eef-f027-43a0-9f42-726de988aabf,131,27a58759-3a83-4453-9a05-1ae635e0aa46
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,f140c612-47d3-499e-8b08-e1d0e79d37e9,1,M,2022-12-12,14:00:00,16:30:00,12e6b7c9-3302-4a10-b8c7-19082350df9a,110,2530f175-11c7-4902-af70-47374334fa86
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,0680e3ad-b8f8-4302-aa84-9f7e3ab5da6e,1,M,2022-12-12,14:00:00,16:30:00,5fda8eef-f027-43a0-9f42-726de988aabf,131,27a58759-3a83-4453-9a05-1ae635e0aa46
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,0e815c7e-4160-4596-aadc-6e646f736dd9,1,M,2022-12-12,14:00:00,16:30:00,12e6b7c9-3302-4a10-b8c7-19082350df9a,105,269a9958-dd82-4cb8-ba24-693433dadfdb
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,4e64c610-d7b6-444e-a469-dee55161c55d,1,T,2022-12-13,14:00:00,16:30:00,2009fe24-3d61-4957-b8a0-7ce053e6aab9,332,b3c6d9b2-bc05-4d8c-9274-a9c18d0c77cf
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,a0c50ddf-d5b6-4f3d-9603-261e1437de0a,1,R,2022-12-08,11:00:00,13:30:00,2009fe24-3d61-4957-b8a0-7ce053e6aab9,331,33b62246-fd85-4d1c-b804-904d3dece01a
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,ab61c522-15f9-4c1a-a6dd-63c9251f73c1,1,T,2022-12-13,17:30:00,20:00:00,4139fc29-2373-48d8-9dea-2d9261384942,212,f9009f88-6b26-4a10-9195-90278bf0d02f
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,71c830c2-7733-4042-ad48-160a8f88abf7,2,T,2022-12-13,14:00:00,16:30:00,4139fc29-2373-48d8-9dea-2d9261384942,211,0e5b4b74-aef5-43c2-9656-b7459d4505cd
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,71c830c2-7733-4042-ad48-160a8f88abf7,1,R,2022-12-08,11:00:00,13:30:00,07a88d8b-89a9-4f64-8b3f-63671908b8ec,13,0e5b4b74-aef5-43c2-9656-b7459d4505cd
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,8b4da593-0053-4456-a768-800e39fbf6ea,1,M,2022-12-12,14:00:00,16:30:00,4139fc29-2373-48d8-9dea-2d9261384942,211,18b52699-5102-45a9-83b4-00b413121f19
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,4a45243e-358f-4b48-9505-f79131357fee,001,W,2022-12-14,17:30:00,20:00:00,4139fc29-2373-48d8-9dea-2d9261384942,212,a65dac23-e66a-44a8-b548-6d346261db29
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,dd2e8609-44c0-402c-85b1-381c4ddb3145,001,R,2022-12-08,14:00:00,16:30:00,9dd9a6e8-63c4-46de-ba63-beb3c50676d6,311,d379d989-ecd5-49d7-b219-c3ef209d3189
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,47309fc9-643b-4877-8cc8-cb01ac980cb9,001,M,2022-12-12,14:00:00,16:30:00,07a88d8b-89a9-4f64-8b3f-63671908b8ec,16,11073d64-e862-4875-a579-2afa394a0a57
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,fb05754a-0bea-408d-b770-c6f7a64ee226,003,W,2022-12-14,11:00:00,13:30:00,9dd9a6e8-63c4-46de-ba63-beb3c50676d6,210,cfe5b71a-aae9-41b9-ab0d-d9ee0c86afb1
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,fb05754a-0bea-408d-b770-c6f7a64ee226,001,M,2022-12-12,14:00:00,16:30:00,9dd9a6e8-63c4-46de-ba63-beb3c50676d6,210,9aca6a05-7899-430e-892e-5bc982d740e6
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,fb05754a-0bea-408d-b770-c6f7a64ee226,002,R,2022-12-08,11:00:00,13:30:00,9dd9a6e8-63c4-46de-ba63-beb3c50676d6,207,9dbf74f1-ceaa-4ee0-8eb5-c7b61017f8af
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,c4f8e317-fdd2-4af2-9ece-46cb47965acc,001,T,2022-12-13,14:00:00,16:30:00,4139fc29-2373-48d8-9dea-2d9261384942,1,737d412d-4e4f-4598-be9c-8bc115bca2f8
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,1ab62701-8e30-4479-a268-7b8b158b58c5,002,M,2022-12-12,14:00:00,16:30:00,2009fe24-3d61-4957-b8a0-7ce053e6aab9,315,e9208282-8b57-44fd-b5ea-ae4de69f4202
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,1ab62701-8e30-4479-a268-7b8b158b58c5,003,R,2022-12-08,14:00:00,16:30:00,4139fc29-2373-48d8-9dea-2d9261384942,211,e9208282-8b57-44fd-b5ea-ae4de69f4202
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,1ab62701-8e30-4479-a268-7b8b158b58c5,001,F,2022-12-09,11:00:00,13:30:00,96992551-53d9-4236-9148-116e0fe51821,428,e9208282-8b57-44fd-b5ea-ae4de69f4202
578ccf7d-e964-4066-99d8-de5a1fdcb7b3,12c5657d-c39f-44cd-83bd-c3664144ce84,011,T,2022-12-13,08:00:00,10:30:00,9dd9a6e8-63c4-46de-ba63-beb3c50676d6,310,8281634b-93ec-4704-bea0-a95b7c471939
